id,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,parking,area_per_bedroom,bathroom_to_bedroom_ratio,luxury_indicator,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
1,13300000.0,7420,4,2.0,3,1,0,0,0,1,1,2,1855.0,0.5,0,False,False
2,12250000.0,8960,4,4.0,4,1,0,0,0,1,0,3,2240.0,1.0,1,False,False
3,12250000.0,9960,3,2.0,2,1,0,1,0,0,1,2,3320.0,0.6666666666666666,0,True,False
4,12215000.0,7500,4,2.0,2,1,0,1,0,1,1,3,1875.0,0.5,1,False,False
5,11410000.0,7420,4,1.0,2,1,1,1,0,1,0,2,1855.0,0.25,0,False,False
6,10850000.0,7500,3,3.0,1,1,0,1,0,1,1,2,2500.0,1.0,0,True,False
7,10150000.0,8580,4,3.0,4,1,0,0,0,1,1,2,2145.0,0.75,0,True,False
8,10150000.0,16200,5,3.0,2,1,0,0,0,0,0,0,3240.0,0.6,0,False,True
9,9870000.0,8100,4,1.0,2,1,1,1,0,1,1,2,2025.0,0.25,0,False,False
10,9800000.0,5750,3,2.0,4,1,1,0,0,1,1,1,1916.6666666666667,0.6666666666666666,0,False,True
11,9800000.0,13200,3,1.0,2,1,0,1,0,1,1,2,4400.0,0.3333333333333333,0,False,False
12,9681000.0,6000,4,3.0,2,1,1,1,1,0,0,2,1500.0,0.75,0,True,False
13,9310000.0,6550,4,2.0,2,1,0,0,0,1,1,1,1637.5,0.5,0,True,False
14,9240000.0,3500,4,2.0,2,1,0,0,1,0,0,2,875.0,0.5,0,False,False
15,9240000.0,7800,3,2.0,2,1,0,0,0,0,1,0,2600.0,0.6666666666666666,0,True,False
16,9100000.0,6000,4,1.0,2,1,0,1,0,0,0,2,1500.0,0.25,0,True,False
17,9100000.0,6600,4,2.0,2,1,1,1,0,1,1,1,1650.0,0.5,0,False,True
18,8960000.0,8500,3,2.0,4,1,0,0,0,1,0,2,2833.3333333333335,0.6666666666666666,0,False,False
19,8890000.0,4600,3,2.0,2,1,1,0,0,1,0,2,1533.3333333333333,0.6666666666666666,0,False,False
20,8855000.0,6420,3,2.0,2,1,0,0,0,1,1,1,2140.0,0.6666666666666666,0,True,False
21,8750000.0,4320,3,1.0,2,1,0,1,1,0,0,2,1440.0,0.3333333333333333,0,True,False
22,8680000.0,7155,3,2.0,1,1,1,1,0,1,0,2,2385.0,0.6666666666666666,0,False,True
23,8645000.0,8050,3,1.0,1,1,1,1,0,1,0,1,2683.3333333333335,0.3333333333333333,0,False,False
24,8645000.0,4560,3,2.0,2,1,1,1,0,1,0,1,1520.0,0.6666666666666666,0,False,False
25,8575000.0,8800,3,2.0,2,1,0,0,0,1,0,2,2933.3333333333335,0.6666666666666666,0,False,False
26,8540000.0,6540,4,2.0,2,1,1,1,0,1,1,2,1635.0,0.5,0,False,False
27,8463000.0,6000,3,2.0,4,1,1,1,0,1,1,0,2000.0,0.6666666666666666,0,True,False
28,8400000.0,8875,3,1.0,1,1,0,0,0,0,0,1,2958.3333333333335,0.3333333333333333,0,True,False
29,8400000.0,7950,5,2.0,2,1,0,1,1,0,0,2,1590.0,0.4,0,False,True
30,8400000.0,5500,4,2.0,2,1,0,1,0,1,1,1,1375.0,0.5,0,True,False
31,8400000.0,7475,3,2.0,4,1,0,0,0,1,0,2,2491.6666666666665,0.6666666666666666,0,False,True
32,8400000.0,7000,3,1.0,4,1,0,0,0,1,0,2,2333.3333333333335,0.3333333333333333,0,True,False
33,8295000.0,4880,4,2.0,2,1,0,0,0,1,1,1,1220.0,0.5,0,False,False
34,8190000.0,5960,3,3.0,2,1,1,1,0,0,0,1,1986.6666666666667,1.0,0,False,True
35,8120000.0,6840,5,1.0,2,1,1,1,0,1,0,1,1368.0,0.2,0,False,False
36,8080940.0,7000,3,2.0,4,1,0,0,0,1,0,2,2333.3333333333335,0.6666666666666666,0,False,False
37,8043000.0,7482,3,2.0,3,1,0,0,1,0,1,1,2494.0,0.6666666666666666,0,False,False
38,7980000.0,9000,4,2.0,4,1,0,0,0,1,0,2,2250.0,0.5,0,False,False
39,7962500.0,6000,3,1.0,4,1,1,0,0,1,0,2,2000.0,0.3333333333333333,0,False,True
40,7910000.0,6000,4,2.0,4,1,0,0,0,1,0,1,1500.0,0.5,0,True,False
41,7875000.0,6550,3,1.0,2,1,0,1,0,1,1,0,2183.3333333333335,0.3333333333333333,0,False,False
42,7840000.0,6360,3,2.0,4,1,0,0,0,1,1,0,2120.0,0.6666666666666666,0,False,False
43,7700000.0,6480,3,2.0,4,1,0,0,0,1,0,2,2160.0,0.6666666666666666,0,False,True
44,7700000.0,6000,4,2.0,4,1,0,0,0,0,0,2,1500.0,0.5,0,True,False
45,7560000.0,6000,4,2.0,4,1,0,0,0,1,0,1,1500.0,0.5,0,False,False
46,7560000.0,6000,3,2.0,3,1,0,0,0,1,0,0,2000.0,0.6666666666666666,0,True,False
47,7525000.0,6000,3,2.0,4,1,0,0,0,1,0,1,2000.0,0.6666666666666666,0,False,False
48,7490000.0,6600,3,1.0,4,1,0,0,0,1,1,3,2200.0,0.3333333333333333,1,False,False
49,7455000.0,4300,3,2.0,2,1,0,1,0,0,0,1,1433.3333333333333,0.6666666666666666,0,False,True
50,7420000.0,7440,3,2.0,1,1,1,1,0,1,1,0,2480.0,0.6666666666666666,0,True,False
51,7420000.0,7440,3,2.0,4,1,0,0,0,0,1,1,2480.0,0.6666666666666666,0,False,True
52,7420000.0,6325,3,1.0,4,1,0,0,0,1,0,1,2108.3333333333335,0.3333333333333333,0,False,True
53,7350000.0,6000,4,2.0,4,1,1,0,0,1,0,1,1500.0,0.5,0,False,False
54,7350000.0,5150,3,2.0,4,1,0,0,0,1,0,2,1716.6666666666667,0.6666666666666666,0,True,False
55,7350000.0,6000,3,2.0,2,1,1,0,0,1,0,1,2000.0,0.6666666666666666,0,True,False
56,7350000.0,6000,3,1.0,2,1,0,0,0,1,0,1,2000.0,0.3333333333333333,0,False,True
57,7343000.0,11440,4,1.0,2,1,0,1,0,0,1,1,2860.0,0.25,0,True,False
58,7245000.0,9000,4,2.0,4,1,1,0,0,1,1,1,2250.0,0.5,0,False,False
59,7210000.0,7680,4,2.0,4,1,1,0,0,1,0,1,1920.0,0.5,0,True,False
60,7210000.0,6000,3,2.0,4,1,1,0,0,1,0,1,2000.0,0.6666666666666666,0,False,False
61,7140000.0,6000,3,2.0,2,1,1,0,0,0,0,1,2000.0,0.6666666666666666,0,True,False
62,7070000.0,8880,2,1.0,1,1,0,0,0,1,0,1,4440.0,0.5,0,True,False
63,7070000.0,6240,4,2.0,2,1,0,0,0,1,0,1,1560.0,0.5,0,False,False
64,7035000.0,6360,4,2.0,3,1,0,0,0,1,1,2,1590.0,0.5,0,False,False
65,7000000.0,11175,3,1.0,1,1,0,1,0,1,1,1,3725.0,0.3333333333333333,0,False,False
66,6930000.0,8880,3,2.0,2,1,0,1,0,1,0,1,2960.0,0.6666666666666666,0,False,False
67,6930000.0,13200,2,1.0,1,1,0,1,1,0,0,1,6600.0,0.5,0,False,False
68,6895000.0,7700,3,2.0,1,1,0,0,0,0,0,2,2566.6666666666665,0.6666666666666666,0,False,True
69,6860000.0,6000,3,1.0,1,1,0,0,0,1,0,1,2000.0,0.3333333333333333,0,False,False
70,6790000.0,12090,4,2.0,2,1,0,0,0,0,1,2,3022.5,0.5,0,False,False
71,6790000.0,4000,3,2.0,2,1,0,1,0,1,1,0,1333.3333333333333,0.6666666666666666,0,True,False
72,6755000.0,6000,4,2.0,4,1,0,0,0,1,0,0,1500.0,0.5,0,False,True
73,6720000.0,5020,3,1.0,4,1,0,0,0,1,1,0,1673.3333333333333,0.3333333333333333,0,False,True
74,6685000.0,6600,2,2.0,4,1,0,1,0,0,1,0,3300.0,1.0,0,False,False
75,6650000.0,4040,3,1.0,2,1,0,1,1,0,0,1,1346.6666666666667,0.3333333333333333,0,False,False
76,6650000.0,4260,4,2.0,2,1,0,0,1,0,0,0,1065.0,0.5,0,True,False
77,6650000.0,6420,3,2.0,3,1,0,0,0,1,1,0,2140.0,0.6666666666666666,0,False,False
78,6650000.0,6500,3,2.0,3,1,0,0,0,1,1,0,2166.6666666666665,0.6666666666666666,0,False,False
79,6650000.0,5700,3,1.0,1,1,1,1,0,1,1,2,1900.0,0.3333333333333333,0,False,False
80,6650000.0,6000,3,2.0,3,1,1,0,0,1,0,0,2000.0,0.6666666666666666,0,False,False
81,6629000.0,6000,3,1.0,2,1,0,0,1,0,1,1,2000.0,0.3333333333333333,0,True,False
82,6615000.0,4000,3,2.0,2,1,0,1,0,1,0,1,1333.3333333333333,0.6666666666666666,0,True,False
83,6615000.0,10500,3,2.0,1,1,0,1,0,1,1,1,3500.0,0.6666666666666666,0,False,False
84,6580000.0,6000,3,2.0,4,1,0,0,0,1,0,0,2000.0,0.6666666666666666,0,True,False
85,6510000.0,3760,3,1.0,2,1,0,0,1,0,0,2,1253.3333333333333,0.3333333333333333,0,True,False
86,6510000.0,8250,3,2.0,3,1,0,0,0,1,0,0,2750.0,0.6666666666666666,0,False,False
87,6510000.0,6670,3,1.0,3,1,0,1,0,0,1,0,2223.3333333333335,0.3333333333333333,0,False,True
88,6475000.0,3960,3,1.0,1,1,0,1,0,0,0,2,1320.0,0.3333333333333333,0,True,False
89,6475000.0,7410,3,1.0,1,1,1,1,0,1,1,2,2470.0,0.3333333333333333,0,False,True
90,6440000.0,8580,5,3.0,2,1,0,0,0,0,0,2,1716.0,0.6,0,False,False
91,6440000.0,5000,3,1.0,2,1,0,0,0,1,0,0,1666.6666666666667,0.3333333333333333,0,True,False
92,6419000.0,6750,2,1.0,1,1,1,1,0,0,1,2,3375.0,0.5,0,False,False
93,6405000.0,4800,3,2.0,4,1,1,0,0,1,0,0,1600.0,0.6666666666666666,0,False,False
94,6300000.0,7200,3,2.0,1,1,0,1,0,1,0,3,2400.0,0.6666666666666666,0,True,False
95,6300000.0,6000,4,2.0,4,1,0,0,0,0,0,1,1500.0,0.5,0,True,False
96,6300000.0,4100,3,2.0,3,1,0,0,0,1,0,2,1366.6666666666667,0.6666666666666666,0,True,False
97,6300000.0,9000,3,1.0,1,1,0,1,0,0,1,1,3000.0,0.3333333333333333,0,False,False
98,6300000.0,6400,3,1.0,1,1,1,1,0,1,1,1,2133.3333333333335,0.3333333333333333,0,True,False
99,6293000.0,6600,3,2.0,3,1,0,0,0,1,1,0,2200.0,0.6666666666666666,0,False,True
100,6265000.0,6000,4,1.0,3,1,1,1,0,0,1,0,1500.0,0.25,0,False,True
101,6230000.0,6600,3,2.0,1,1,0,1,0,1,1,0,2200.0,0.6666666666666666,0,False,True
102,6230000.0,5500,3,1.0,3,1,0,0,0,0,1,1,1833.3333333333333,0.3333333333333333,0,False,True
103,6195000.0,5500,3,2.0,4,1,1,0,0,1,0,1,1833.3333333333333,0.6666666666666666,0,True,False
104,6195000.0,6350,3,2.0,3,1,1,0,0,1,0,0,2116.6666666666665,0.6666666666666666,0,False,False
105,6195000.0,5500,3,2.0,1,1,1,1,0,0,1,2,1833.3333333333333,0.6666666666666666,0,False,False
106,6160000.0,4500,3,1.0,4,1,0,0,0,1,0,0,1500.0,0.3333333333333333,0,False,True
107,6160000.0,5450,4,2.0,1,1,0,1,0,1,1,0,1362.5,0.5,0,True,False
108,6125000.0,6420,3,1.0,3,1,0,1,0,0,1,0,2140.0,0.3333333333333333,0,False,True
109,6107500.0,3240,4,1.0,3,1,0,0,0,0,0,1,810.0,0.25,0,True,False
110,6090000.0,6615,4,2.0,2,1,1,0,1,0,0,1,1653.75,0.5,0,True,False
111,6090000.0,6600,3,1.0,1,1,1,1,0,0,1,2,2200.0,0.3333333333333333,0,True,False
112,6090000.0,8372,3,1.0,3,1,0,0,0,1,0,2,2790.6666666666665,0.3333333333333333,0,False,True
113,6083000.0,4300,6,2.0,2,1,0,0,0,0,0,0,716.6666666666666,0.3333333333333333,0,False,False
114,6083000.0,9620,3,1.0,1,1,0,1,0,0,1,2,3206.6666666666665,0.3333333333333333,0,False,False
115,6020000.0,6800,2,1.0,1,1,1,1,0,0,0,2,3400.0,0.5,0,False,False
116,6020000.0,8000,3,1.0,1,1,1,1,0,1,1,2,2666.6666666666665,0.3333333333333333,0,True,False
117,6020000.0,6900,3,2.0,1,1,1,1,0,0,1,0,2300.0,0.6666666666666666,0,False,True
118,5950000.0,3700,4,1.0,2,1,1,0,0,1,0,0,925.0,0.25,0,False,False
119,5950000.0,6420,3,1.0,1,1,0,1,0,1,1,0,2140.0,0.3333333333333333,0,False,False
120,5950000.0,7020,3,1.0,1,1,0,1,0,1,1,2,2340.0,0.3333333333333333,0,True,False
121,5950000.0,6540,3,1.0,1,1,1,1,0,0,1,2,2180.0,0.3333333333333333,0,False,False
122,5950000.0,7231,3,1.0,2,1,1,1,0,1,1,0,2410.3333333333335,0.3333333333333333,0,True,False
123,5950000.0,6254,4,2.0,1,1,0,1,0,0,1,1,1563.5,0.5,0,True,False
124,5950000.0,7320,4,2.0,2,1,0,0,0,0,0,0,1830.0,0.5,0,False,False
125,5950000.0,6525,3,2.0,4,1,0,0,0,0,0,1,2175.0,0.6666666666666666,0,False,False
126,5943000.0,15600,3,1.0,1,1,0,0,0,1,0,2,5200.0,0.3333333333333333,0,True,False
127,5880000.0,7160,3,1.0,1,1,0,1,0,0,1,2,2386.6666666666665,0.3333333333333333,0,False,True
128,5880000.0,6500,3,2.0,3,1,0,0,0,1,0,0,2166.6666666666665,0.6666666666666666,0,False,True
129,5873000.0,5500,3,1.0,3,1,1,0,0,1,0,1,1833.3333333333333,0.3333333333333333,0,False,False
130,5873000.0,11460,3,1.0,3,1,0,0,0,0,1,2,3820.0,0.3333333333333333,0,True,False
131,5866000.0,4800,3,1.0,1,1,1,1,0,0,0,0,1600.0,0.3333333333333333,0,False,True
132,5810000.0,5828,4,1.0,4,1,1,0,0,0,0,0,1457.0,0.25,0,True,False
133,5810000.0,5200,3,1.0,3,1,0,0,0,1,0,0,1733.3333333333333,0.3333333333333333,0,True,False
134,5810000.0,4800,3,1.0,3,1,0,0,0,1,0,0,1600.0,0.3333333333333333,0,False,True
135,5803000.0,7000,3,1.0,1,1,0,1,0,0,1,2,2333.3333333333335,0.3333333333333333,0,True,False
136,5775000.0,6000,3,2.0,4,1,0,0,0,1,0,0,2000.0,0.6666666666666666,0,False,True
137,5740000.0,5400,4,2.0,2,1,0,0,0,1,0,2,1350.0,0.5,0,False,True
138,5740000.0,4640,4,1.0,2,1,0,0,0,0,0,1,1160.0,0.25,0,True,False
139,5740000.0,5000,3,1.0,3,1,0,0,0,1,0,0,1666.6666666666667,0.3333333333333333,0,True,False
140,5740000.0,6360,3,1.0,1,1,1,1,0,1,1,2,2120.0,0.3333333333333333,0,False,False
141,5740000.0,5800,3,2.0,4,1,0,0,0,1,0,0,1933.3333333333333,0.6666666666666666,0,False,True
142,5652500.0,6660,4,2.0,2,1,1,1,0,0,1,1,1665.0,0.5,0,True,False
143,5600000.0,10500,4,2.0,2,1,0,0,0,0,0,1,2625.0,0.5,0,True,False
144,5600000.0,4800,5,2.0,3,0,0,1,1,0,0,0,960.0,0.4,0,False,True
145,5600000.0,4700,4,1.0,2,1,1,1,0,1,0,1,1175.0,0.25,0,False,False
146,5600000.0,5000,3,1.0,4,1,0,0,0,0,0,0,1666.6666666666667,0.3333333333333333,0,False,False
147,5600000.0,10500,2,1.0,1,1,0,0,0,0,0,1,5250.0,0.5,0,True,False
148,5600000.0,5500,3,2.0,2,1,0,0,0,0,0,1,1833.3333333333333,0.6666666666666666,0,True,False
149,5600000.0,6360,3,1.0,3,1,0,0,0,0,1,0,2120.0,0.3333333333333333,0,True,False
150,5600000.0,6600,4,2.0,1,1,0,1,0,0,1,0,1650.0,0.5,0,True,False
151,5600000.0,5136,3,1.0,2,1,1,1,0,1,1,0,1712.0,0.3333333333333333,0,False,True
152,5565000.0,4400,4,1.0,2,1,0,0,0,1,1,2,1100.0,0.25,0,True,False
153,5565000.0,5400,5,1.0,2,1,1,1,0,1,1,0,1080.0,0.2,0,False,False
154,5530000.0,3300,3,3.0,2,1,0,1,0,0,0,0,1100.0,1.0,0,True,False
155,5530000.0,3650,3,2.0,2,1,0,0,0,0,0,2,1216.6666666666667,0.6666666666666666,0,True,False
156,5530000.0,6100,3,2.0,1,1,0,1,0,0,1,2,2033.3333333333333,0.6666666666666666,0,False,False
157,5523000.0,6900,3,1.0,1,1,1,1,0,0,1,0,2300.0,0.3333333333333333,0,True,False
158,5495000.0,2817,4,2.0,2,0,1,1,0,0,0,1,704.25,0.5,0,False,False
159,5495000.0,7980,3,1.0,1,1,0,0,0,0,0,2,2660.0,0.3333333333333333,0,True,False
160,5460000.0,3150,3,2.0,1,1,1,1,0,1,0,0,1050.0,0.6666666666666666,0,False,False
161,5460000.0,6210,4,1.0,4,1,1,0,0,1,0,0,1552.5,0.25,0,False,False
162,5460000.0,6100,3,1.0,3,1,1,0,0,1,1,0,2033.3333333333333,0.3333333333333333,0,True,False
163,5460000.0,6600,4,2.0,2,1,1,1,0,0,1,0,1650.0,0.5,0,True,False
164,5425000.0,6825,3,1.0,1,1,1,1,0,1,1,0,2275.0,0.3333333333333333,0,True,False
165,5390000.0,6710,3,2.0,2,1,1,1,0,0,1,1,2236.6666666666665,0.6666666666666666,0,False,False
166,5383000.0,6450,3,2.0,1,1,1,1,1,0,0,0,2150.0,0.6666666666666666,0,False,True
167,5320000.0,7800,3,1.0,1,1,0,1,0,1,1,2,2600.0,0.3333333333333333,0,False,True
168,5285000.0,4600,2,2.0,1,1,0,0,0,1,0,2,2300.0,1.0,0,True,False
169,5250000.0,4260,4,1.0,2,1,0,1,0,1,0,0,1065.0,0.25,0,False,False
170,5250000.0,6540,4,2.0,2,0,0,0,0,1,0,0,1635.0,0.5,0,True,False
171,5250000.0,5500,3,2.0,1,1,0,1,0,0,0,0,1833.3333333333333,0.6666666666666666,0,True,False
172,5250000.0,10269,3,1.0,1,1,0,0,0,0,1,1,3423.0,0.3333333333333333,0,True,False
173,5250000.0,8400,3,1.0,2,1,1,1,0,1,1,2,2800.0,0.3333333333333333,0,False,True
174,5250000.0,5300,4,2.0,1,1,0,0,0,1,1,0,1325.0,0.5,0,False,True
175,5250000.0,3800,3,1.0,2,1,1,1,0,0,1,1,1266.6666666666667,0.3333333333333333,0,False,True
176,5250000.0,9800,4,2.0,2,1,1,0,0,0,0,2,2450.0,0.5,0,True,False
